No.,天文台名,Telescope,口径,竣工年,郵便番号,Address,緯度,経度,高度
1,国立天文台ハワイ観測所,すばる望遠鏡,8.2,1999,,ハワイ島マウナケア,0,0,
2,兵庫県立西はりま天文台公園,なゆた望遠鏡,2,2004,,兵庫県佐用町,35.02641465,134.3360851233,
3,国立天文台,岡山天体物理観測所,1.88,1960,,岡山県浅口市,34.5279193,133.5849605,
4,名古屋大学,,1.8,2004,,ニュージーランド、マウントジョン,35.15330865,136.9677805654,
5,県立ぐんま天文台,,1.5,1999,,群馬県高山村,36.62087,138.9433672,
6,広島大学東広島天文台,かなた望遠鏡,1.5,1994,,広島県東広島市,34.37769815,132.7770795405,
7,情報通信研究機構,,1.5,1988,,東京都小金井市,35.710213,139.488329217,
8,名古屋大学理学部,,1.4,2000,,南アフリカ、サザーランド,0,0,
9,宇宙航空研究開発機構,,1.3,1988,,神奈川県相模原市,35.67924925,139.5583275259,
10,仙台市天文台,,1.3,2008,,宮城県仙台市,38.25687185,140.7553783531,
11,阿南市科学センター,,1.13,1999,,徳島県阿南市,33.9220102,134.6596974,
12,銀河の森天文台,りくり望遠鏡,1.1,1998,,北海道陸別町,43.4564519,143.7661425,
13, みさと天文台,,1.05,1995,,和歌山県紀美野町,34.1677572,135.3080533,
14, 東京大学木曽観測所,,1.05,1974,,長野県木曽町,35.899967,137.651902,
15,石垣島天文台,むりかぶし望遠鏡,1.05,2006,,沖縄県石垣島,24.4710165,124.2385060936,
16,東京大学アタカマ天文台,,1.04,2009,,チリ、アタカマ,0,0,
17,鳥取市さじアストロパーク,,1.03,1994,,鳥取県鳥取市,35.4943948,134.2219282,
18,美星天文台,,1.01,1993,,岡山県井原市,34.6722789,133.5458943,
19,富山市天文台,,1,1997,,富山県富山市,36.6957569,137.2136215,
20,かわべ天文台,,1,1995,,和歌山県日高川町,33.9117304,135.1865061,
21,美星スペースガードセンター,,1,2001,,岡山県井原市,34.5976515,133.4638294,
22,鹿児島大学,,1,2001,,鹿児島県薩摩川内市,31.57161495,130.5440927503,
